,id,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
3899,2921,13,2,8042,9,12,4,3,1,4,0,0,0,39,38
7988,5963,40,5,7329,11,8,2,2,0,4,1,0,0,39,38
14666,10961,14,1,5311,12,13,4,3,1,4,1,0,0,44,38
2465,1860,37,2,6523,11,8,6,11,1,4,0,0,0,36,38
10930,8161,28,2,2672,1,6,4,6,1,2,0,0,0,39,38
9049,6765,15,3,8757,15,9,2,13,0,2,1,0,0,34,13
2875,2148,34,2,4356,12,13,2,3,0,4,1,0,40,49,38
9388,7012,23,2,2573,7,11,2,11,0,4,1,83,0,49,38
2321,1756,26,4,8878,9,12,2,3,0,1,1,0,0,49,29
6841,5109,17,5,1327,12,13,4,9,4,2,0,0,0,23,38
5722,4261,27,2,5542,11,8,2,11,0,4,1,0,0,34,38
12304,9184,1,5,9134,15,9,4,7,1,4,0,0,0,39,38
4279,3195,29,2,9552,11,8,2,2,0,2,1,0,0,59,38
8665,6480,22,2,1171,12,13,2,9,0,4,1,104,0,39,38
11960,8932,18,2,4271,11,8,3,7,4,2,0,0,0,19,38
1873,1413,9,2,3847,11,8,3,10,1,4,1,0,0,39,38
6137,4579,28,2,2188,0,5,2,11,0,4,1,0,0,39,38
11439,8533,40,2,2569,3,1,2,7,0,3,1,0,0,39,5
9471,7074,19,2,4360,14,14,4,9,1,3,1,0,0,39,18
7880,5874,27,2,987,8,10,4,8,1,4,1,3,0,24,38
15234,11329,13,1,2669,9,12,4,9,1,2,1,93,0,44,38
5271,3919,1,2,6218,0,5,4,7,2,4,0,0,0,39,38
10055,7510,11,1,7349,15,9,4,0,4,2,0,0,0,39,38
17471,11725,25,4,6466,11,8,0,11,3,4,1,0,0,49,38
9065,6774,39,1,7738,12,13,2,3,0,2,1,0,0,39,38
12777,9536,35,2,2130,11,8,2,2,0,4,1,0,0,44,7
1010,756,27,5,4031,12,13,2,9,0,4,1,0,0,39,38
2682,2008,15,0,9391,9,12,2,3,0,4,1,0,0,39,38
11141,8308,17,2,6630,11,8,4,3,2,4,1,0,0,49,38
7965,5944,29,2,6482,15,9,4,2,3,4,1,0,0,39,38
10876,8120,36,2,3384,11,8,0,3,1,2,0,0,0,39,38
7686,5722,25,2,3669,15,9,4,6,1,4,1,0,0,44,38
2209,1670,38,2,3964,12,13,2,9,0,4,1,0,0,39,38
14379,10733,6,2,7661,9,12,4,9,1,4,1,0,0,49,38
8724,6527,19,2,145,15,9,2,11,0,4,1,0,0,44,38
11109,8285,22,2,538,1,6,2,13,0,4,1,0,0,39,38
4466,3320,5,5,3758,15,9,4,9,1,4,1,0,0,9,38
5218,3881,14,2,8709,14,14,2,9,0,4,1,0,0,59,38
1853,1395,13,2,933,7,11,4,12,1,4,0,0,0,39,38
8525,6372,35,2,2739,12,13,2,9,0,4,1,0,0,39,38
9607,7185,32,2,5082,12,13,2,9,5,4,0,0,0,49,38
5547,4134,39,1,7049,15,9,2,2,0,4,1,0,0,40,38
1541,1157,14,2,9185,15,9,2,0,0,4,1,0,0,39,38
1927,1458,32,3,7231,15,9,2,2,0,4,1,0,0,44,38
7817,5825,21,1,8588,11,8,4,2,1,4,1,0,36,39,1
2711,2028,15,4,354,11,8,0,4,1,4,1,0,0,64,38
1773,1331,2,2,6089,11,8,4,6,3,2,0,0,0,39,38
14897,11134,4,2,4501,11,8,4,0,3,4,0,0,0,39,38
11961,8933,45,4,3793,11,8,4,7,4,4,0,0,0,5,38
1279,964,14,2,1362,11,8,2,2,0,4,1,0,0,49,38
17405,11718,14,1,3710,9,12,4,9,2,4,1,0,0,39,38
11746,8767,19,2,8331,11,8,2,6,0,4,1,0,0,39,38
2561,1925,10,1,5831,9,12,4,9,3,4,0,0,0,39,38
5296,3939,28,2,1694,11,8,0,0,1,4,0,0,0,39,1
10551,7878,17,5,7362,9,12,4,9,1,4,1,0,0,47,38
13293,9916,30,2,8774,14,14,2,9,0,1,1,104,0,54,35
2008,1517,1,2,7665,2,7,4,7,3,4,1,0,0,19,38
8260,6175,19,2,5246,15,9,4,9,1,4,0,0,0,39,38
905,676,20,1,7581,11,8,2,10,0,4,1,0,0,39,38
4471,3323,8,1,9439,9,12,4,9,1,4,0,0,0,39,38
15750,11422,38,2,3741,15,9,2,10,0,2,1,0,0,39,38
6061,4524,15,2,4371,9,12,4,9,1,4,1,0,0,37,38
8594,6422,10,2,7842,15,9,4,2,1,4,1,0,0,39,38
14427,10769,22,2,7272,4,2,2,5,0,4,1,0,0,39,25
14742,11018,17,2,2424,11,8,4,0,1,4,0,0,0,39,38
12015,8969,24,2,4975,11,8,0,11,1,4,1,0,0,49,38
1967,1485,14,2,916,11,8,2,9,0,4,1,0,0,49,38
5927,4418,30,2,4174,12,13,5,3,1,4,1,104,0,49,38
12596,9407,11,2,6258,15,9,4,0,3,4,1,0,0,39,38
463,341,14,2,3325,11,8,4,3,3,2,1,0,0,39,38
7681,5718,0,2,8159,1,6,4,8,3,4,0,0,0,8,38
4745,3529,36,5,7232,10,15,2,9,0,4,1,0,0,49,38
14918,11148,11,2,1554,3,1,3,7,3,3,0,0,0,34,5
7330,5465,43,5,2800,11,8,6,0,1,4,0,0,0,34,38
11523,8601,17,1,7096,12,13,2,3,0,4,1,0,0,39,38
11780,8792,35,2,8290,11,8,2,6,0,4,1,0,0,39,38
8425,6300,23,4,1506,11,8,2,2,0,4,1,0,0,49,38
503,377,19,0,2210,9,12,2,9,0,1,1,0,0,39,38
